"id","dispositivo_id","zona_id","hora","origen_posicion","n_fijaciones"
21,4,21,2026-08-23 11:00:00.000 +0200,gps,1
2,4,2,2026-08-23 11:00:00.000 +0200,ranging,11
25,4,2,2026-08-23 11:00:00.000 +0200,gps,1
28,4,28,2026-08-23 11:00:00.000 +0200,ranging,1
33,4,33,2026-08-23 11:00:00.000 +0200,gps,1
39,4,39,2026-08-23 11:00:00.000 +0200,gps,1
23,4,23,2026-08-23 11:00:00.000 +0200,gps,6
1,4,1,2026-08-23 11:00:00.000 +0200,gps,10
24,4,24,2026-08-23 11:00:00.000 +0200,ranging,10
46,4,45,2026-08-23 11:00:00.000 +0200,ranging,1
48,4,48,2026-08-23 11:00:00.000 +0200,ranging,5
9,4,9,2026-08-23 11:00:00.000 +0200,gps,2
3,4,3,2026-08-23 11:00:00.000 +0200,gps,3
57,4,48,2026-08-23 11:00:00.000 +0200,gps,2
45,4,45,2026-08-23 11:00:00.000 +0200,gps,7
52,4,52,2026-08-23 11:00:00.000 +0200,ranging,6
72,4,69,2026-08-23 12:00:00.000 +0200,ranging,1
74,4,74,2026-08-23 12:00:00.000 +0200,ranging,1
80,4,21,2026-08-23 12:00:00.000 +0200,ranging,1
73,4,73,2026-08-23 12:00:00.000 +0200,gps,2
78,4,3,2026-08-23 12:00:00.000 +0200,ranging,5
69,4,69,2026-08-23 12:00:00.000 +0200,gps,10
70,4,70,2026-08-23 12:00:00.000 +0200,ranging,4
93,4,23,2026-08-23 12:00:00.000 +0200,gps,1
96,4,96,2026-08-23 12:00:00.000 +0200,ranging,2
94,4,94,2026-08-23 12:00:00.000 +0200,ranging,2
103,4,103,2026-08-23 12:00:00.000 +0200,gps,1
107,4,9,2026-08-23 12:00:00.000 +0200,gps,1
102,4,102,2026-08-23 12:00:00.000 +0200,ranging,2
97,4,33,2026-08-23 12:00:00.000 +0200,gps,3
110,4,110,2026-08-23 12:00:00.000 +0200,ranging,1
112,4,112,2026-08-23 12:00:00.000 +0200,ranging,1
105,4,52,2026-08-23 12:00:00.000 +0200,gps,2
104,4,104,2026-08-23 12:00:00.000 +0200,ranging,3
95,4,24,2026-08-23 12:00:00.000 +0200,gps,4
116,4,116,2026-08-23 12:00:00.000 +0200,ranging,1
